Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
EGS27976,CEERS,F200W,1.05,7.91,0.971,-21.9,-21.84,3,15.969,0.611,0.012,0.0,0.0,0.377,1.889,0.005,189.5,0.6,0.157,0.006,196.7,12.9,1.0,0.0,,,,,,,22.3,7.9,-42.3,40.5,175.9,38.9,2.349,0.494,11529.177,0.0,20.871,7.062,1.48,1.54,-0.18,0.26,0.779
EGS27976,CEERS,F277W,1.05,7.91,1.359,-22.06,-21.84,3,16.225,0.662,0.012,0.0,0.0,0.326,1.867,0.005,239.9,1.0,0.321,0.017,56.6,4.1,1.0,0.0,,,,,,,15.5,8.1,-44.2,37.5,134.2,35.5,2.267,0.331,10892.289,0.0,7.178,2.299,1.59,2.27,-0.21,0.11,0.819
EGS27976,CEERS,F356W,1.05,7.91,1.738,-22.14,-21.84,3,16.007,0.641,0.01,0.0,0.0,0.348,1.74,0.004,275.9,1.1,0.196,0.022,136.8,25.8,1.0,0.0,,,,,,,19.5,7.9,-43.3,42.3,150.4,34.1,2.107,0.331,12743.447,0.0,11.095,5.536,2.54,3.7,-0.13,0.22,0.814
EGS27976,CEERS,F410M,1.05,7.91,1.996,-22.09,-21.84,3,16.537,0.654,0.014,0.0,0.0,0.332,1.831,0.005,258.3,1.4,0.322,0.024,67.6,7.4,1.0,0.0,,,,,,,12.3,8.5,-41.0,34.1,124.1,35.1,2.156,0.435,10838.831,0.0,6.331,1.378,2.52,5.77,-0.28,0.1,0.849
EGS27976,CEERS,F444W,1.05,7.91,2.157,-21.98,-21.84,3,15.685,0.66,0.012,0.0,0.0,0.328,1.767,0.004,240.4,1.1,0.25,0.024,85.3,13.1,1.0,0.0,,,,,,,12.0,11.5,-37.2,42.8,135.2,31.3,2.071,0.288,12953.566,0.0,4.597,1.067,2.33,3.43,-0.15,0.21,0.839
EGS30172,CEERS,F150W,3.29,11.56,0.35,-20.7,,2,,0.465,0.0,0.338,0.0,0.196,0.681,0.012,260.4,7.8,,,,,,,1.731,0.032,75.9,2.3,0.25,0.0,18.2,7.6,-39.8,29.8,75.5,19.3,0.799,0.05,3549.666,80.757,3.226,3.021,1.0,0.0,0.0,0.0,0.937
EGS30172,CEERS,F200W,3.29,11.56,0.464,-21.05,,2,,0.425,0.0,0.408,0.0,0.166,0.678,0.01,330.8,7.9,,,,,,,1.753,0.018,114.3,2.2,0.25,0.0,26.3,7.7,-61.4,0.6,71.0,16.2,0.754,0.0,4171.04,103.779,1.093,0.409,1.0,0.0,0.0,0.0,0.933
EGS30172,CEERS,F277W,3.29,11.56,0.649,-21.2,,2,,0.461,0.0,0.363,0.0,0.176,0.947,0.013,210.4,6.5,,,,,,,1.469,0.015,138.0,2.3,0.25,0.0,20.5,15.8,-44.7,13.5,66.1,15.5,1.215,0.124,3977.566,84.241,1.988,0.864,1.0,0.0,0.0,0.0,0.765
EGS30836,CEERS,F115W,1.116,8.15,0.545,-22.49,-23.06,3,15.294,0.414,0.091,0.129,0.0,0.366,3.091,0.027,58.0,1.1,0.467,0.019,190.0,13.3,2.62,0.1,2.35,0.016,53.3,0.8,0.25,0.0,18.7,5.4,-21.8,35.1,228.3,39.9,2.232,0.708,11175.503,0.0,3.414,0.761,5.29,2.56,-0.22,0.24,0.596
EGS30836,CEERS,F150W,1.116,8.15,0.709,-22.92,-23.06,3,17.983,0.379,0.087,0.184,0.0,0.35,3.5,0.025,67.6,1.1,0.396,0.008,478.8,15.2,1.55,0.04,2.517,0.031,79.4,1.2,0.47,0.01,20.1,4.4,-13.7,34.6,225.3,38.4,2.041,0.285,11782.15,0.0,3.572,1.376,4.04,2.9,-0.04,0.18,0.584
EGS30836,CEERS,F200W,1.116,8.15,0.94,-23.22,-23.06,3,19.299,0.377,0.113,0.197,0.0,0.314,3.479,0.018,87.6,1.1,0.456,0.007,646.0,17.1,1.4,0.04,2.594,0.022,106.6,1.6,0.52,0.01,20.6,5.4,-14.6,36.4,220.5,39.9,2.069,0.297,11612.31,342.73,2.955,0.919,4.3,2.64,-0.17,0.24,0.57
EGS30836,CEERS,F277W,1.116,8.15,1.317,-23.62,-23.06,3,21.044,0.316,0.123,0.26,0.0,0.301,3.388,0.027,117.2,2.4,0.514,0.004,1126.9,15.5,0.62,0.02,2.489,0.024,186.5,2.4,0.45,0.01,18.9,9.4,-10.7,42.1,198.1,40.4,2.598,0.806,11134.057,820.203,2.104,0.791,3.53,2.13,-0.18,0.38,0.577
EGS30836,CEERS,F356W,1.116,8.15,1.684,-23.69,-23.06,3,21.347,0.314,0.188,0.184,0.0,0.314,3.181,0.022,133.0,2.4,0.648,0.005,1191.9,17.9,0.8,0.02,2.909,0.026,123.2,2.6,0.25,0.0,21.6,9.4,-26.4,41.1,188.0,32.1,2.559,0.646,11510.612,0.0,2.232,0.696,2.48,2.83,-0.13,0.35,0.559
EGS30836,CEERS,F410M,1.116,8.15,1.934,-23.66,-23.06,3,20.4,0.293,0.185,0.18,0.0,0.342,3.25,0.024,123.4,2.3,0.57,0.004,1286.9,19.1,0.82,0.02,2.909,0.024,116.4,2.5,0.37,0.01,20.5,10.4,-15.4,42.8,218.0,60.3,2.446,0.748,12240.393,0.0,3.57,2.756,3.68,4.48,-0.1,0.4,0.54
EGS30836,CEERS,F444W,1.116,8.15,2.089,-23.61,-23.06,3,20.486,0.286,0.152,0.267,0.0,0.294,3.365,0.031,113.7,2.7,0.509,0.003,1538.7,11.2,0.5,0.0,3.272,0.022,175.1,1.8,0.46,0.01,21.7,7.2,-10.3,45.4,213.5,43.0,2.185,0.889,12878.825,0.0,2.404,0.558,3.42,2.66,0.15,0.36,0.637
EGS31125,CEERS,F200W,2.06,10.33,0.65,-22.92,-23.42,2,,0.413,0.299,0.0,0.0,0.288,2.545,0.0,127.8,0.0,0.733,0.005,462.2,5.9,1.7,0.02,,,,,,,27.6,0.5,-58.3,12.6,162.1,37.6,2.397,0.859,9665.428,0.0,3.826,0.321,1.23,1.16,-0.32,0.13,0.67
EGS31125,CEERS,F277W,2.06,10.33,0.91,-23.69,-23.42,2,20.636,0.39,0.248,0.0,0.0,0.361,2.587,0.0,236.1,0.0,0.822,0.004,729.9,7.0,1.17,0.01,,,,,,,35.6,3.4,-52.3,17.5,214.2,76.5,2.525,0.0,10124.336,0.0,4.706,0.989,4.14,2.33,-0.37,0.09,0.508
EGS31125,CEERS,F356W,2.06,10.33,1.164,-24.21,-23.42,2,21.591,0.263,0.308,0.0,0.0,0.429,2.587,0.0,256.3,0.0,1.034,0.01,867.5,12.0,1.35,0.02,,,,,,,37.4,1.1,-67.8,0.8,243.5,13.2,2.465,0.0,9855.197,0.0,5.923,0.423,9.03,0.64,-0.5,0.0,0.338
EGS31125,CEERS,F410M,2.06,10.33,1.337,-24.47,-23.42,2,23.865,0.248,0.339,0.0,0.0,0.413,2.631,0.0,296.6,0.0,1.086,0.004,1155.9,9.7,1.2,0.01,,,,,,,37.5,1.4,-68.4,8.1,216.4,46.2,1.793,0.223,9079.934,0.0,4.392,0.371,6.74,0.74,-0.46,0.04,0.486
EGS31125,CEERS,F444W,2.06,10.33,1.445,-24.54,-23.42,2,23.441,0.211,0.379,0.0,0.0,0.41,2.927,0.0,218.7,0.0,1.212,0.007,1079.7,10.5,1.29,0.01,,,,,,,38.0,1.2,-65.3,4.7,240.6,10.0,1.732,0.081,10733.601,0.0,5.804,1.184,8.78,1.41,-0.5,0.0,0.388
EGS31281,CEERS,F115W,1.554,9.39,0.452,-21.6,-22.57,4,,0.461,0.109,0.0,0.0,0.431,3.655,0.038,33.6,0.7,0.743,0.014,71.7,2.1,1.41,0.03,,,,,,,17.2,7.7,-20.4,17.5,189.0,48.6,1.793,0.331,9281.586,769.908,8.332,11.438,0.75,0.31,0.2,0.24,0.289
EGS31281,CEERS,F150W,1.554,9.39,0.588,-22.1,-22.57,4,23.247,0.482,0.196,0.0,0.0,0.322,3.836,0.034,54.3,1.4,0.857,0.02,120.3,4.2,2.08,0.04,,,,,,,17.7,8.3,-5.1,36.2,210.5,47.9,1.639,0.295,13157.228,0.0,6.475,8.968,0.76,0.31,0.18,0.23,0.332
EGS31281,CEERS,F200W,1.554,9.39,0.779,-22.52,-22.57,4,19.357,0.433,0.269,0.0,0.0,0.299,3.217,0.023,98.7,2.7,0.944,0.022,198.4,6.7,2.25,0.04,,,,,,,20.4,8.5,-14.7,36.8,209.4,45.0,1.599,0.506,11327.35,953.478,8.342,6.364,0.78,0.3,0.1,0.13,0.347
EGS31281,CEERS,F277W,1.554,9.39,1.091,-23.06,-22.57,4,17.521,0.61,0.137,0.0,0.0,0.253,1.786,0.01,692.1,5.7,0.501,0.002,784.4,6.3,0.64,0.01,,,,,,,18.4,6.8,-19.3,26.9,193.5,59.2,1.829,0.526,9162.655,135.521,3.19,1.644,0.76,0.31,0.18,0.23,0.285
EGS31281,CEERS,F356W,1.554,9.39,1.395,-23.22,-22.57,4,19.83,0.647,0.169,0.0,0.0,0.184,1.923,0.007,725.5,5.2,0.582,0.003,886.9,8.4,0.77,0.02,,,,,,,20.6,6.2,-41.1,18.0,189.6,60.9,1.955,0.495,9446.809,0.0,5.624,4.305,0.76,0.31,0.19,0.24,0.357
EGS31281,CEERS,F410M,1.554,9.39,1.602,-23.35,-22.57,4,20.244,0.636,0.157,0.0,0.0,0.207,1.718,0.011,1020.3,11.7,0.568,0.004,1062.0,11.9,0.63,0.02,,,,,,,18.1,5.9,-18.4,21.7,193.1,60.4,1.643,0.543,8916.637,127.867,2.124,0.85,0.75,0.31,0.2,0.24,0.344
EGS31281,CEERS,F444W,1.554,9.39,1.731,-23.42,-22.57,4,18.021,0.622,0.121,0.0,0.0,0.257,1.493,0.007,1367.8,10.4,0.463,0.003,1242.4,9.0,0.5,0.0,,,,,,,17.3,6.6,-14.4,25.3,257.1,90.4,1.815,0.649,11869.667,0.0,1.764,1.06,0.73,0.31,0.21,0.25,0.328
EGS31720,CEERS,F115W,1.066,7.97,0.559,-20.94,-21.47,2,13.466,0.551,0.116,0.0,0.0,0.333,2.251,0.013,45.7,0.4,0.534,0.003,75.3,0.4,1.0,0.0,,,,,,,9.3,0.7,44.9,5.2,192.3,7.9,2.757,0.192,8040.853,153.048,14.313,9.923,0.67,0.32,-0.5,0.0,0.488
EGS31720,CEERS,F150W,1.066,7.97,0.726,-21.36,-21.47,2,15.505,0.569,0.13,0.0,0.0,0.301,2.335,0.011,61.6,0.5,0.561,0.003,116.2,0.6,1.0,0.0,,,,,,,11.3,2.2,28.9,11.9,191.6,5.8,2.861,0.0,8088.365,0.0,5.827,1.622,0.7,0.32,-0.5,0.0,0.511
EGS31720,CEERS,F200W,1.066,7.97,0.963,-21.61,-21.47,2,15.268,0.537,0.151,0.0,0.0,0.312,2.263,0.009,79.7,0.7,0.522,0.002,173.7,0.8,1.0,0.0,,,,,,,11.3,1.2,44.0,3.9,188.7,5.9,2.726,0.0,7665.777,129.701,8.293,4.456,0.69,0.32,-0.43,0.07,0.493
EGS31720,CEERS,F277W,1.066,7.97,1.348,-21.85,-21.47,2,15.12,0.515,0.178,0.0,0.0,0.307,2.058,0.009,109.4,1.2,0.682,0.004,172.2,0.9,1.0,0.0,,,,,,,13.0,3.1,9.7,34.5,183.9,16.5,2.46,0.0,6104.46,120.804,3.732,0.397,0.71,0.29,-0.1,0.19,0.502
EGS31720,CEERS,F356W,1.066,7.97,1.725,-21.97,-21.47,2,15.685,0.509,0.178,0.0,0.0,0.313,1.962,0.008,133.6,1.4,0.67,0.003,214.6,1.2,1.0,0.0,,,,,,,13.2,2.8,3.1,40.7,179.9,20.4,2.349,0.0,5983.634,123.758,3.595,0.162,0.7,0.31,-0.27,0.02,0.518
EGS31720,CEERS,F410M,1.066,7.97,1.981,-21.85,-21.47,2,14.557,0.499,0.162,0.0,0.0,0.338,1.753,0.013,161.2,2.7,0.589,0.005,218.7,1.9,1.0,0.0,,,,,,,12.5,3.2,42.0,1.0,194.3,23.6,2.361,0.0,8484.42,0.0,10.143,3.02,0.71,0.29,-0.23,0.06,0.471
EGS31720,CEERS,F444W,1.066,7.97,2.14,-21.79,-21.47,2,15.013,0.509,0.172,0.0,0.0,0.32,1.873,0.013,135.1,2.3,0.659,0.005,204.2,1.8,1.0,0.0,,,,,,,12.8,4.0,24.1,23.4,181.9,16.1,2.348,0.0,7112.883,206.872,5.992,0.139,0.79,0.22,-0.23,0.1,0.534
JADES131726,JADES,F182M,1.37,8.93,0.778,-22.87,-22.95,3,18.255,0.636,0.043,0.0,0.0,0.321,2.183,0.009,443.7,2.7,0.287,0.004,523.1,11.2,1.0,0.0,,,,,,,16.6,1.5,-37.7,10.8,233.1,52.9,2.69,0.315,8859.612,204.896,12.082,9.513,2.55,0.51,0.04,0.23,0.561
JADES131726,JADES,F210M,1.37,8.93,0.883,-23.13,-22.95,3,19.253,0.654,0.05,0.0,0.0,0.296,2.269,0.008,536.1,3.0,0.314,0.004,648.8,12.7,1.0,0.0,,,,,,,18.9,4.4,-18.1,12.1,229.8,43.3,2.408,0.345,8661.37,181.369,10.357,7.857,2.31,0.47,0.02,0.24,0.569
JADES131726,JADES,F444W,1.37,8.93,1.865,-23.68,-22.95,3,22.576,0.577,0.091,0.0,0.0,0.332,2.172,0.007,833.6,7.6,0.61,0.008,516.0,7.6,1.0,0.0,,,,,,,19.1,3.3,-4.4,25.5,218.1,29.9,2.65,0.374,8391.837,126.35,9.101,1.987,2.12,0.59,-0.0,0.24,0.514
JADES156224,JADES,F182M,1.52,9.31,0.732,-22.64,-22.74,2,13.309,0.501,0.168,0.0,0.0,0.332,1.953,0.02,241.8,7.3,0.899,0.013,222.7,2.1,1.0,0.0,,,,,,,14.2,0.7,-32.1,18.3,273.2,23.0,2.14,0.49,5541.809,120.659,2.078,0.317,10.7,5.03,-0.2,0.36,0.627
JADES156224,JADES,F210M,1.52,9.31,0.831,-22.77,-22.74,2,12.997,0.515,0.155,0.0,0.0,0.33,1.75,0.016,344.2,8.9,0.792,0.012,288.3,3.0,1.0,0.0,,,,,,,14.8,0.3,-35.6,22.4,271.6,18.7,2.088,0.523,5559.509,83.056,2.284,0.676,9.74,4.39,-0.21,0.33,0.662
JADES156224,JADES,F444W,1.52,9.31,1.754,-23.58,-22.74,2,17.661,0.565,0.184,0.0,0.0,0.252,1.571,0.008,1131.1,21.5,1.034,0.009,537.6,4.7,1.0,0.0,,,,,,,16.1,2.1,-9.1,19.1,208.3,49.4,1.18,0.137,4721.222,105.465,2.864,0.354,2.58,0.67,0.5,0.0,0.702
JADES158887,JADES,F090W,1.08,8.02,0.433,-20.87,-22.2,3,10.75,0.401,0.041,0.0,0.0,0.558,2.325,0.039,39.9,1.0,0.445,0.011,32.7,0.8,1.0,0.0,,,,,,,22.6,2.5,-6.7,11.0,236.0,31.6,2.215,0.351,9383.638,0.0,3.127,0.991,1.4,0.69,-0.14,0.35,0.561
JADES158887,JADES,F115W,1.08,8.02,0.555,-21.52,-22.2,3,12.096,0.48,0.068,0.0,0.0,0.452,2.575,0.02,66.7,1.1,0.463,0.006,92.2,1.4,1.0,0.0,,,,,,,23.1,3.5,-22.7,24.0,235.3,28.6,2.589,0.512,8060.983,0.0,3.58,1.029,1.07,1.04,-0.21,0.34,0.609
JADES158887,JADES,F150W,1.08,8.02,0.722,-22.02,-22.2,3,13.178,0.53,0.074,0.0,0.0,0.396,1.785,0.012,191.7,2.9,0.4,0.006,213.1,3.9,1.0,0.0,,,,,,,28.4,8.6,-9.9,55.1,184.3,42.0,1.587,0.217,6943.389,0.0,2.99,0.925,4.02,4.85,-0.2,0.22,0.592
JADES158887,JADES,F200W,1.08,8.02,0.957,-22.45,-22.2,3,14.374,0.545,0.078,0.0,0.0,0.377,1.558,0.007,365.6,3.8,0.34,0.005,460.7,8.9,1.0,0.0,,,,,,,28.6,8.8,-13.0,54.1,180.3,46.8,1.4,0.208,6830.305,0.0,3.067,1.557,3.77,4.11,-0.09,0.17,0.571
JADES158887,JADES,F277W,1.08,8.02,1.339,-22.85,-22.2,3,16.24,0.543,0.082,0.0,0.0,0.374,1.602,0.011,586.8,7.7,0.421,0.01,457.8,13.3,1.0,0.0,,,,,,,31.5,10.3,-51.5,27.4,179.6,12.3,1.989,0.277,9377.433,331.057,2.817,1.284,1.55,0.83,0.03,0.23,0.562
JADES158887,JADES,F335M,1.08,8.02,1.618,-23.05,-22.2,3,16.475,0.538,0.09,0.0,0.0,0.372,1.576,0.007,714.4,6.7,0.405,0.007,648.7,13.9,1.0,0.0,,,,,,,31.8,10.3,-48.9,30.5,176.3,15.5,1.935,0.262,10285.204,273.899,2.723,1.261,1.64,1.03,0.01,0.23,0.569
JADES158887,JADES,F356W,1.08,8.02,1.713,-23.06,-22.2,3,17.347,0.534,0.089,0.0,0.0,0.377,1.576,0.01,725.7,9.5,0.398,0.01,672.4,23.0,1.0,0.0,,,,,,,31.5,10.2,-48.6,32.1,175.4,16.8,1.887,0.217,10345.496,331.882,2.68,1.273,1.77,1.19,0.01,0.23,0.569
JADES158887,JADES,F410M,1.08,8.02,1.967,-23.0,-22.2,3,17.062,0.538,0.076,0.0,0.0,0.386,1.48,0.008,763.1,7.8,0.314,0.009,867.9,34.9,1.0,0.0,,,,,,,31.2,10.3,-50.9,31.1,174.2,17.4,1.851,0.205,10213.651,273.639,2.678,1.357,2.08,1.61,0.01,0.28,0.576
JADES158887,JADES,F444W,1.08,8.02,2.126,-22.94,-22.2,3,16.805,0.533,0.075,0.0,0.0,0.392,1.465,0.008,746.9,8.0,0.308,0.01,844.3,39.7,1.0,0.0,,,,,,,30.9,11.1,-49.8,30.7,174.2,14.8,1.903,0.271,10717.604,317.243,2.617,1.316,2.51,2.49,-0.11,0.33,0.571
JADES158906,JADES,F090W,1.92,10.11,0.309,-20.92,-21.78,2,9.736,0.467,0.0,0.094,0.0,0.439,2.259,0.051,32.6,1.3,,,,,,,2.895,0.102,10.3,0.6,0.34,0.04,11.1,7.5,2.4,43.8,144.0,12.6,1.665,0.316,5661.246,311.647,5.691,4.962,1.19,0.6,0.37,0.01,0.93
JADES158906,JADES,F115W,1.92,10.11,0.395,-21.47,-21.78,2,10.185,0.372,0.013,0.082,0.0,0.533,2.36,0.039,40.0,1.1,0.384,0.029,24.4,2.2,1.0,0.0,2.893,0.066,18.7,0.7,0.49,0.03,10.9,0.1,-45.1,11.8,164.0,5.1,2.653,0.121,5205.69,0.0,1.465,0.193,1.59,1.53,0.2,0.3,0.612
JADES158906,JADES,F150W,1.92,10.11,0.514,-21.67,-21.78,2,13.015,0.429,0.012,0.095,0.0,0.465,2.531,0.029,45.2,1.0,0.362,0.027,31.5,2.7,1.0,0.0,2.993,0.058,24.1,0.7,0.47,0.03,8.8,0.0,-32.1,16.1,171.1,0.8,2.338,0.081,5180.378,0.0,1.292,0.184,1.53,1.53,0.25,0.25,0.63
JADES158906,JADES,F200W,1.92,10.11,0.682,-21.76,-21.78,2,11.523,0.366,0.017,0.123,0.0,0.494,2.436,0.031,45.4,1.1,0.345,0.017,49.8,3.3,1.0,0.0,2.565,0.04,26.7,0.5,0.5,0.0,5.1,0.9,-20.5,15.7,165.8,5.4,2.293,0.313,5452.502,0.0,1.422,0.186,2.32,2.21,-0.12,0.02,0.604
JADES158906,JADES,F277W,1.92,10.11,0.954,-21.79,-21.78,2,11.875,0.325,0.003,0.127,0.0,0.545,2.392,0.046,42.9,2.7,0.027,0.055,1404.6,5693.2,1.0,0.0,1.968,0.075,35.8,1.3,0.82,0.06,12.1,0.7,-25.5,14.2,200.2,9.1,2.493,0.119,5478.872,0.0,1.55,0.452,1.13,0.99,0.32,0.24,0.502
JADES158906,JADES,F356W,1.92,10.11,1.22,-21.84,-21.78,2,11.916,0.323,0.009,0.154,0.0,0.515,2.346,0.041,44.4,2.6,0.025,0.0,5458.3,278.0,1.0,0.0,2.649,0.045,36.9,0.7,0.58,0.03,8.0,1.0,-17.9,6.7,209.6,21.7,2.287,0.018,5497.604,0.0,1.289,0.296,1.08,0.82,0.13,0.07,0.495
JADES158906,JADES,F410M,1.92,10.11,1.401,-21.85,-21.78,2,12.335,0.318,0.01,0.178,0.0,0.494,2.478,0.092,41.0,5.4,0.025,0.0,5961.4,528.0,1.0,0.0,2.784,0.089,34.7,1.3,0.61,0.05,9.3,0.1,-25.3,11.5,186.3,5.7,2.352,0.082,5457.821,226.67,1.367,0.237,1.58,1.23,0.28,0.29,0.512
JADES158906,JADES,F444W,1.92,10.11,1.514,-21.88,-21.78,2,13.021,0.31,0.014,0.167,0.0,0.509,2.345,0.041,44.7,2.5,0.025,0.0,8962.8,282.6,1.0,0.0,3.014,0.039,37.5,0.7,0.45,0.02,8.3,2.2,5.5,23.0,198.8,9.6,2.358,0.35,5624.816,162.851,1.227,0.166,1.72,1.54,0.15,0.28,0.502
JADES159476,JADES,F115W,1.08,8.02,0.555,-21.56,-22.2,4,15.003,0.539,0.004,0.0,0.0,0.457,2.978,0.022,72.5,0.6,0.277,0.022,21.9,2.4,0.5,0.0,,,,,,,17.8,12.4,-31.6,30.2,254.0,108.4,2.243,1.162,15255.36,0.0,7.65,7.752,6.64,3.7,0.03,0.4,0.573
JADES159476,JADES,F150W,1.08,8.02,0.722,-22.04,-22.2,4,16.025,0.57,0.009,0.0,0.0,0.421,2.735,0.012,135.3,0.8,0.261,0.009,77.8,4.2,0.5,0.0,,,,,,,18.3,10.7,-32.1,27.6,244.8,99.5,2.227,1.003,14915.181,0.0,6.243,4.132,7.56,4.31,0.2,0.3,0.572
JADES159476,JADES,F200W,1.08,8.02,0.957,-22.42,-22.2,4,16.119,0.581,0.018,0.0,0.0,0.401,2.517,0.008,238.3,1.2,0.302,0.006,176.7,5.3,0.5,0.0,,,,,,,17.2,9.2,-30.4,24.1,258.9,106.5,2.178,0.893,15075.853,0.0,5.802,3.936,9.06,4.44,-0.01,0.25,0.573
JADES159476,JADES,F277W,1.08,8.02,1.339,-22.82,-22.2,4,21.413,0.591,0.013,0.0,0.0,0.396,2.316,0.007,404.2,2.5,0.033,0.017,11349.4,11595.8,1.0,0.0,,,,,,,18.9,13.2,-44.8,22.7,267.5,86.3,2.106,0.734,12887.787,516.2,5.885,4.666,9.41,6.24,0.21,0.36,0.587
JADES159476,JADES,F356W,1.08,8.02,1.713,-23.03,-22.2,4,22.16,0.573,0.029,0.0,0.0,0.398,2.261,0.008,497.3,5.3,0.37,0.019,243.2,16.7,1.0,0.0,,,,,,,20.0,12.9,-50.8,21.4,236.6,67.9,1.934,0.562,12440.046,490.209,6.489,4.74,8.75,6.1,-0.05,0.25,0.577
JADES159476,JADES,F410M,1.08,8.02,1.967,-22.98,-22.2,4,23.444,0.53,0.037,0.0,0.0,0.433,2.24,0.009,452.3,5.5,0.386,0.018,278.1,16.8,1.0,0.0,,,,,,,18.7,12.9,-43.2,24.0,247.1,76.5,2.026,0.643,12434.134,470.858,4.804,2.38,8.14,4.56,0.23,0.36,0.527
JADES159476,JADES,F444W,1.08,8.02,2.126,-22.91,-22.2,4,22.187,0.559,0.024,0.0,0.0,0.416,2.136,0.007,485.8,3.4,0.064,0.014,6111.8,2649.3,1.0,0.0,,,,,,,18.7,12.8,-43.6,26.4,253.6,95.1,1.872,0.672,12099.012,484.594,4.167,1.611,9.5,5.46,0.24,0.34,0.543
JADES160443,JADES,F150W,1.97,10.19,0.505,-22.48,-23.65,2,,0.451,0.315,0.0,0.0,0.234,3.967,0.0,65.5,0.0,1.182,0.006,157.1,1.2,1.0,0.0,,,,,,,11.4,2.2,-52.8,19.6,186.6,72.8,2.791,1.122,10882.924,663.954,4.872,1.215,2.82,3.03,-0.11,0.49,0.779
JADES160443,JADES,F200W,1.97,10.19,0.67,-23.24,-23.65,2,20.045,0.527,0.29,0.0,0.0,0.182,2.934,0.024,251.6,4.6,1.067,0.007,361.3,2.3,1.0,0.0,,,,,,,12.7,2.3,-49.0,16.9,197.0,65.6,1.78,0.017,10362.371,0.0,2.981,0.687,1.43,1.21,-0.23,0.22,0.683
JADES160443,JADES,F277W,1.97,10.19,0.938,-23.93,-23.65,2,24.31,0.483,0.302,0.0,0.0,0.215,2.31,0.017,655.9,14.0,1.124,0.011,635.1,5.8,1.0,0.0,,,,,,,15.6,5.3,-44.9,19.0,208.3,55.0,2.55,0.219,9631.751,0.0,1.705,0.641,3.33,2.01,-0.43,0.07,0.523
JADES160443,JADES,F356W,1.97,10.19,1.2,-24.33,-23.65,2,22.416,0.432,0.334,0.0,0.0,0.234,2.087,0.018,985.9,27.0,1.161,0.012,949.5,9.4,1.0,0.0,,,,,,,16.1,5.4,-35.9,16.2,221.1,41.7,2.196,0.32,9234.024,0.0,1.844,0.813,3.95,2.44,-0.46,0.04,0.511
JADES160443,JADES,F410M,1.97,10.19,1.378,-24.45,-23.65,2,23.925,0.439,0.323,0.0,0.0,0.238,1.873,0.014,1322.2,35.1,1.114,0.009,1119.9,8.7,1.0,0.0,,,,,,,16.8,4.7,-22.3,16.9,228.2,43.2,1.922,0.34,8935.836,0.0,1.66,0.815,5.47,2.28,-0.07,0.3,0.517
JADES160443,JADES,F444W,1.97,10.19,1.489,-24.56,-23.65,2,23.071,0.376,0.391,0.0,0.0,0.233,2.044,0.019,1092.3,35.1,1.242,0.01,1209.3,9.9,1.0,0.0,,,,,,,17.1,4.6,-28.0,17.0,224.2,39.6,1.991,0.477,8500.286,274.621,1.557,0.72,6.63,3.46,0.02,0.44,0.52
JADES164258,JADES,F150W,2.01,10.25,0.499,-22.45,-23.44,3,17.927,0.529,0.111,0.0,0.0,0.359,3.955,0.052,54.9,1.5,0.848,0.013,105.7,1.6,1.0,0.0,,,,,,,13.4,2.7,-20.9,15.8,199.2,21.1,2.082,0.618,7818.965,395.571,4.749,0.871,2.61,5.32,-0.42,0.18,0.647
JADES164258,JADES,F200W,2.01,10.25,0.661,-23.15,-23.44,3,22.191,0.49,0.192,0.0,0.0,0.318,3.742,0.058,104.2,4.1,0.716,0.008,486.4,6.6,1.0,0.0,,,,,,,12.7,5.1,-10.1,36.8,206.7,38.4,2.544,0.813,6454.715,180.262,6.593,6.408,1.79,2.36,-0.39,0.32,0.531
JADES164258,JADES,F277W,2.01,10.25,0.926,-23.62,-23.44,3,22.992,0.501,0.262,0.0,0.0,0.236,1.973,0.034,657.5,33.5,0.868,0.018,696.2,12.8,1.0,0.0,,,,,,,14.1,3.2,-15.2,19.6,237.1,30.4,2.066,0.661,10066.775,1001.515,2.004,0.192,3.81,6.85,-0.33,0.35,0.636
JADES164258,JADES,F335M,2.01,10.25,1.118,-24.0,-23.44,3,23.069,0.508,0.253,0.0,0.0,0.239,1.587,0.022,1471.8,60.9,0.873,0.015,937.9,13.7,1.0,0.0,,,,,,,14.3,1.5,-10.3,22.8,255.1,36.8,1.868,0.659,9669.751,442.918,1.796,0.222,1.82,1.82,0.03,0.22,0.599
