Galaxy,Filter,D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err
EGS13670,F356W,0.411,0.186,0.0,0.0,0.404,1.704,0.016,426.3,9.1,0.672,0.007,651.6,6.4,1.0,0.0,,,,,,
EGS13670,F410M,0.381,0.193,0.0,0.0,0.426,1.528,0.015,547.6,12.3,0.663,0.006,774.4,6.3,1.0,0.0,,,,,,
EGS13670,F444W,0.387,0.197,0.0,0.0,0.416,1.584,0.014,540.4,11.0,0.682,0.006,782.3,5.7,1.0,0.0,,,,,,
EGS14565,F115W,0.486,0.024,0.0,0.0,0.49,3.863,0.038,28.5,0.6,0.307,0.01,81.2,3.9,1.0,0.0,,,,,,
EGS14565,F150W,0.533,0.034,0.0,0.0,0.433,3.363,0.024,57.3,0.9,0.385,0.008,112.5,3.0,1.0,0.0,,,,,,
EGS14565,F200W,0.593,0.043,0.0,0.0,0.364,2.891,0.012,117.5,0.8,0.41,0.005,164.8,2.9,1.0,0.0,,,,,,
EGS14565,F277W,0.494,0.103,0.0,0.0,0.403,2.914,0.014,125.9,1.5,0.782,0.006,133.5,1.0,1.0,0.0,,,,,,
EGS14565,F410M,0.536,0.133,0.0,0.0,0.33,2.608,0.012,210.8,2.3,0.824,0.007,195.6,1.5,1.0,0.0,,,,,,
EGS14565,F444W,0.513,0.159,0.0,0.0,0.328,2.748,0.012,188.6,2.0,0.907,0.006,206.6,1.0,1.0,0.0,,,,,,
EGS21378,F150W,0.393,0.229,0.0,0.0,0.379,2.371,0.137,28.9,2.4,0.34,0.006,571.1,15.7,0.5,0.0,,,,,,
EGS21378,F200W,0.453,0.319,0.0,0.0,0.227,2.5,0.024,160.4,2.6,0.385,0.001,3247.5,25.6,0.53,0.01,,,,,,
EGS21378,F277W,0.37,0.428,0.0,0.0,0.202,2.5,0.0,279.0,2.0,0.535,0.001,3536.7,18.1,0.81,0.01,,,,,,
EGS21891,F115W,0.491,0.127,0.0,0.0,0.382,3.114,0.022,49.4,0.9,0.717,0.013,101.9,3.3,1.75,0.05,,,,,,
EGS21891,F150W,0.591,0.104,0.0,0.0,0.305,2.694,0.015,89.5,1.1,0.603,0.009,153.3,3.6,1.17,0.03,,,,,,
EGS21891,F200W,0.441,0.187,0.0,0.0,0.371,2.827,0.023,63.2,1.6,0.921,0.015,90.1,2.6,1.7,0.04,,,,,,
EGS21891,F277W,0.332,0.211,0.0,0.0,0.457,2.758,0.0,55.8,1.1,0.905,0.014,101.2,2.4,1.16,0.02,,,,,,
